연번,제목,본문
185,[소년범의 임용결격사유] 소년범으로 3년간 복역하고 출소를 한 지 1년밖에 안 되었습니다. 공무원이 되고 싶은데 가능한지요?,"인사혁신처 주관 채용시험의 경우, 응시 결격사유(임용 결격사유) 존부 확인을 위한 신원조사(공안기관의 신원조사, 비위면직 조회, 읍·면·동의 결격사유 조회) 등은 최종 합격자 발표 후 합격자를 대상으로 실제 임용예정부처(5급공채는 인사혁신처)에서 실시합니다. 면접시험 시행 전에 응시자 개개인의 과거사실을 조사하는 일은 절대 없으므로 면접시험 단계에서 벌금형과 같은 응시자의 개인정보는 알 수도 없고, 또 면접위원에게 이러한 정보를 제공하지도 않습니다."
186,[면접시험에서의 불이익 여부] 응시 결격사유 해당여부를 확인하는 절차는 언제 있나요? 벌금형을 받은 사실이 면접에서 불리하게 작용하지는 않나요?,"인사혁신처에서는 국가공무원채용시스템을 통해 「공무원 채용시험 지원자격 자가진단 서비스」를 제공하고 있습니다. ① 5급공채(외교관후보자 포함) ② 7급공채 ③ 9급공채 ④ 민간경력채용 등 4개 분야의 체크리스트 형식으로 구성되어 있으며, 본인이 응시하고자 하는 시험 또는 모집단위에 필요한 지원자격 등을 손쉽게 확인할 수 있도록 설계되어 있습니다. 수험생은 약 10분 정도를 투자해 응시 지원자격 충족여부 등을 스스로 진단할 수 있으며, 진단 즉시 그 결과를 확인할 수 있습니다. 또한, 수험생이 궁금해 하는 다양한 정보를 연계하여 설명하고 있으므로 이 서비스를 응시원서 접수 전에 반드시 활용하시기 바랍니다."
187,[지원자격 자가진단 서비스] 제가 9급 지역모집의 거주지 요건을 지방직과 혼동하는 바람에 필기시험 합격이 취소되었습니다. 원서접수 전에 지원자격 등을 일괄적으로 안내해주는 곳이 있었으면 좋겠습니다.,"국가직 공개경쟁채용시험에 응시하기 위해서는 관계법령 및 인사혁신처가 발표하는 「연도별 공개경쟁채용시험 계획 공고문」을 통해 응시연령, 응시 결격사유, 외국어능력검정시험 기준점수, 거주지 제한요건 및 공무원 채용 신체검사 불합격기준 등을 사전에 반드시 확인한 후 지원자격을 갖춘 시험(모집단위)에 응시원서를 제출해야 합니다. 그러나 매년 정확한 사전 확인없이 응시원서를 제출하고 시험을 보아, 합격취소 등의 불이익을 받는 수험생이 종종 발생하고 있습니다. 이러한 수험생 불이익 사례를 예방하기 위해 인사혁신처는 「공무원 채용시험 지원자격 자가진단 서비스」를 개발해 지원하고 있습니다. 국가공무원채용시스템(gongmuwon.gosi.kr)의 메인화면에서 이 서비스를 활용하시면 시험별 응시 지원 자격 등을 스스로 진단.체크할 수 있으므로 적극 활용하시기 바랍니다."
188,[공채시험 지원자격 확인] 공무원 공채시험을 처음 준비하는 수험생입니다. 제가 어떤 지원자격을 충족해야 하는지 한 번에 확인할 수 있는 곳이 없나요?,"학제통합 논술시험은 서로 다른 여러 학문 분야에 걸쳐 종합적이고 거시적인 판단력과 해결능력을 평가하기 위해 도입되었습니다. 단순한 암기위주의 지식층정이 아니라 업무기획, 문제해결, 정보관리, 정책기획 등 외교관에게 필요한 역량을 종합적으로 평가하기 위해 다양한 질문을 제시하고 이를 비교 · 분석하여 의견을 기술하도록 하고 있습니다. 국가공무원채용시스템 홈페이지에 방문하시면 [시험문제/정답> 주관식] 메뉴에서 기출문제 확인이 가능하므로 참고하시기 바랍니다."
189,[학제통합 논술시험] 학제통합 논술시험은 어떤 시험인가요?,"채용시험 과정에서 국내대학 및 해외대학 출신에 대한 구별은 없으며, 해외대학 출신도 기준점수 이상의 영어 및 제2외국어 어학능력검정시험 성적이 있어야 응시할 수 있습니다."
190,[해외대학 졸업자 성적 미제출] 외교관후보자 선발시험에서 해외대학을 졸업한 사람도 영어능력검정시험 성적이 있어야 하나요?,현행 공무원임용시험령에서 별표 3의 2에 따라 제2외국어의 기준점수(등급) 충족여부를 판단할 때 기준점수 이상의 총점을 획득함과 동시에 영역별 최저기준(과락여부)점수 이상을 획득한 경우에만 유효하게 성적을 인정받을 수 있습니다.
191,"[제2외국어 기준점수와 영역별 최저기준(과락)] JLPT(DELE) 시험의 경우, 등급별 최저기준(과락)에 해당하더라도 총점만 기준점수를 충족하면 인정되는지요?","JLPT(일본어), 신HSK(중국어), DELE(스페인어)와 같이 등급별로 구분하여 실시하는 민간어학능력검정시험의 경우, 공무원임용시험령(별표3의2)에서 정한 기준등급과 상위등급의 점수 환산이 어려운 점을 고려하여 기준등급 보다 높은 난이도의 등급은 해당 등급의 합격점 이상의 성적을 취득하면 기준점수를 충족한 것으로 봅니다. 귀하가 제시한 사례를 들어 설명드리면, 일반외교 분야의 JLPT 시험의 기준점수는 N2 150이상이지만 N1 등급에서 합격점인 100점 이상을 취득하면 기준점수(N2 150이상)를 충족한 것으로 봅니다. 더 높은 등급이라도 불합격 점수면 불인정되며, 기준 등급(N2)보다 낮은 등급(N3)은 인정되지 않습니다. * 법령에 표시되지 않은 상위등급(파란색 표시된 부분)은 위 표에 정한 기준에 따라 인정"
192,"[제2외국어 등급별 점수기준] JLPT 시험의 기준점수는 N2 150이상인데요, 제가 N1 시험에서 105점을 받았는데 일반외교 분야에 응시가 가능합니까?","공무원임용시험령 별표3의2에 따라 외국 현지에서 취득한 기준점수 이상의 어학능력검정시험 성적으로도 외교관후보자 선발시험 「일반외교」분야의 제2외국어 과목을 대체할 수 있습니다. 이 때, 어학 성적의 진위 여부 등은 해당 시험검정기관을 통해 확인하고 있으나 일부 시험의 경우는 국내 시행사에서 외국에서 취득한 성적에 대한 유효성 여부를 확인해 주지 않는 경우가 있습니다. 이런 경우에는 해당 수험생이 어학 성적의 진위여부를 증빙할 수 있는 자료를 별도 제출해야 하며 만약, 최종적으로 어학성적 확인이 안 되는 경우에는 수험생에게 불이익이 발생할 수 있습니다. 이러한 수험생 불편과 불이익이 발생하지 않도록 가급적 국내에서 시행하는 시험에 응시할 것을 권장 드립니다."
193,[외국에서 취득한 어학성적] 외국에서 취득한 어학성적으로 「일반외교」 분야 제1차시험의 제2외국어 과목을 대체할 수 있나요? 예를 들어 중국현지에서 응시한 신HSK 성적도 인정되나요?,"귀하께서 문의하신 사항은 「외무공무원임용령」 제12조제4항 및 별표2의2(아래의 응시요건 기본사항 참조)에서 정하고 있으므로 위 법령의 내용을 꼼꼼히 확인하시기 바랍니다. 아울러, 일반적인 답변이 아닌 각 사안별 구체적인 적용정보가 필요하신 경우에는 인사혁신처(공개채용2과☎044-201-8365~8367)로 언제든지 문의해 주시기 바랍니다.<외교관후보자 선발시험(지역외교·외교전문) 응시요건 기본사항> ▶ 경력의 계산 및 학위 소지 여부는 최종시험 시행예정일(2019. 8. 31.) 기준으로 판단함 ▶ 경력은 법인(외국법인 포함), ｢비영리민간단체지원법｣ 제2조의 규정에 의한 민간단체, 국제기구 또는 국제단체에 소속되어 근무하거나 연구를 수행한 경력을 의미함 - 대학조교 경력과 학위취득에 소요되는 학위과정 경력은 제외하되, 국.공립대학 및 사립대학에서의 강의 또는 연구 경력은 포함됨 ▶ 경력요건에 기재된 '관리자'는 법인(외국법인 포함), ｢비영리민간단체지원법｣ 제2조의 규정에 의한 민간단체, 국제기구 또는 국제단체의 장 또는 부서단위의 책임자(예 : 본부장, 부장, 차장, 과장, 팀장 등)로 전임 근무한 경우에 해당됨 ※ 직위명이 아닌 실질적인 관리자 역할을 수행한 경우에 한하며 이를 소명하지 못하는 경우 경력요건을 충족하지 못한 것으로 판단될 수 있음 ▶ 경력요건으로 응시하는 경우, 최종경력을 기준으로 시험공고일 현재(2019.1.2.) 퇴직 후 3년이 경과되지 아니하여야 함 ▶ 경력직 국가 또는 지방공무원이었던 사람에 대해서는 임용예정직급의 바로 하위 직급 또는 이에 상당하는 직급에서 승진소요최저연수를 초과하여 근무한 경우 그 초과근무기간의 2분의 1을 1년의 범위에서 임용예정직급에 해당하는 근무실적으로 합산할 수 있음 ▶ 학위의 경우 '관련분야'는 학위논문 또는 전공분야를 기준으로 함"
194,"[지역외교․외교전문 분야의 경력요건 해석] 지역외교, 외교전문 분야의 경력요건을 이해하는데 어려움이 많습니다. 경력 등 판단기준일, 관리자의 범위 등 구체적인 정보는 어디에서 확인할 수 있습니까?","지역외교 분야는 「외무공무원임용령」 제12조제5항에 따라 동 법령 별표2의2에서 정한 경력요건이 없더라도 「공무원임용시험령」 별표3의2에서 정한 민간 어학능력검정시험에서 기준점수(경력요건이 없는 경우) 이상의 성적을 취득하시면 응시자격이 인정됩니다. 다만, 지역외교-중동의 경우는 아랍어에 대한 민간 어학능력검정시험이 없기 때문에 「공무원임용시험령」 별표3의2에 반영되어 있지 않습니다. 이 경우에는 일단 시험을 정상적으로 응시하고 난 후에 별도의 어학검증시험에 응시하여 기준점수 이상을 획득해야 합니다. 어학검증시험의 시험일시 및 장소는 제2차시험 합격자 발표일에 국가공무원채용시스템(gongmuwon.gosi.kr)를 통해 별도 안내할 예정입니다."
195,[지역외교-아랍어] 「지역외교-중동」분야에서 경력요건이 없을 때는 성적을 획득하면 되잖아요. 아랍어는 민간 어학능력검정시험이 없는데 어떻게 준비해야 하나요?,외교전문' 분야의 응시자는 「외무공무원임용령」 별표2의2에서 정한 경력요건을 충족해야만 응시자격이 인정됩니다. 이 때의 경력요건 충족여부 판단기준일은 최종시험 시행예정일(면접시험 최종일)이므로 응시원서 접수일 또는 제1 · 2차시험 당시에는 경력요건에 미달하더라도 최종시험 시행예정일까지 경력요건을 충족하면 응시자격은 유효하게 인정됩니다. 인사혁신처는 경력요건 관련서류를 검증하여 응시자격 충족여부만을 판단할 뿐 경력사항을 점수화하여 제1 · 2차시험 성적에 합산을 하는 것은 아닙니다.
